PUBCHEM_CID	DISTINCT_EXP_COUNT	EIDS
91440	1	854
92743	1	854
92884	1	2467
92904	1	854
94022	1	7634
94330	1	2098
94419	1	3408
94507	1	2467
94880	1	3897
94975	1	4348
95230	1	3897
95365	1	7615
95917	1	967
96069	1	3897
96213	1	3897
96695	1	3408
96737	1	3452
97035	1	3897
97762	1	7663
98599	1	7738
98608	1	7663
98965	1	3731
99313	1	4188
99600	1	3897
99625	1	7719
100028	1	3408
100058	1	2467
100472	1	3897
100530	1	3731
100617	1	2098
101259	1	3897
101430	1	3897
101479	1	3897
101748	1	2467
101781	1	2467
102928	1	3897
105078	1	3897
107715	1	3734,3734
108005	1	2467
112580	1	2490
112786	1	3897
113080	1	2957
115019	1	3731
115175	1	2467
118982	1	3731
120369	1	3731
120774	1	3731
121926	1	3734
122023	1	3408
122909	1	3897
123054	1	3897
123631	1	3739
123664	1	2473
123884	1	2467
125322	1	7634
125823	1	2467
126769	1	3734
131349	1	2467
132887	1	3731
133322	1	3731
133323	1	3731
134450	1	3452
134551	1	7634
135005	1	3897
135411	1	3731
136420	1	3897
136951	1	3897
137292	1	3897
138666	1	2824
139030	1	854
139410	1	3897
140917	1	3731
145611	1	4166
146694	1	854
148471	1	3897
148769	1	7538
148870	1	967
149241	1	854
149784	1	3408
150365	1	3731
152215	1	3408
156525	1	3704
159644	1	3897
160212	1	3731
160453	1	2467
160505	1	2467
160876	1	3731
161091	1	3896
167628	1	3731
167963	1	3734
174223	1	2467
176077	1	4310
176408	1	3408
177728	1	3216
178054	1	3897
182073	1	7672
182228	1	3897
182791	1	3452
184853	1	3897
185146	1	3452
185371	1	7719
186315	1	3897
186762	1	3897
188803	1	2467
191258	1	3216
192706	1	3731
196663	1	3731
197763	1	3896
197837	1	7744
198234	1	3897
198995	1	3897
198996	1	3897
200753	1	3897
201134	1	3897
202779	1	3897
211186	1	3896
213323	1	7738
213331	1	854
215605	1	2824
216284	1	2098
218417	1	854
219325	1	4223
219490	1	3897
219563	1	967
219591	1	854
219761	1	3452
220717	1	3731
221427	1	3897
221797	1	2467
222268	1	3897
222943	1	3897
223191	1	3408
223368	1	2467
223396	1	3897
224146	1	3990
224561	1	2098
224652	1	705
224665	1	3731
224667	1	3731
224895	1	2617
224922	1	854
224935	1	3731
225470	1	3897
226508	1	3897
227884	1	2098
228533	1	3704
230363	1	3897
230754	1	3452
230983	1	3731
231244	1	3897
231808	1	3897
231904	1	3897
232704	1	3897
232919	1	3897
233722	1	3734
233797	1	3897
233833	1	2467
233840	1	3897
234845	1	705
235224	1	7725
235453	1	3393
235538	1	3408
235621	1	854
235922	1	3897
236003	1	3897
236319	1	3897
236654	1	3731
236933	1	3897
237065	1	3897
237314	1	967
238065	1	3897
238307	1	854
239526	1	3897
239940	1	3897
240061	1	967
240936	1	967
240967	1	3897
241244	1	3734
241827	1	3897
242120	1	7615
242230	1	7634
242249	1	3897
242508	1	7814
242563	1	967
242586	1	2824
242889	1	3897
244062	1	967
244635	1	3734
245295	1	3731
245554	1	3897
245581	1	3731
245882	1	3897
246466	1	3393
246835	1	7634
247216	1	705
247352	1	7672
247635	1	3897
248786	1	705
248840	1	7744
249759	1	3897
251469	1	3897
251561	1	7634
251934	1	967
252264	1	3897
252608	1	3896
252925	1	3897
254070	1	967
254080	1	967
254341	1	967
254365	1	3897
254510	1	2098
254758	1	2824
254792	1	3897
255082	1	3992
255292	1	3393
255296	1	7738
255889	1	3897
256655	1	3731
256660	1	3897
257563	1	3897
258596	1	7634
258939	1	3731
259144	1	3897
259399	1	3897
259632	1	3897
259755	1	3452
259756	1	3897
259840	1	3897
259997	1	3897
260053	1	967
260308	1	7685
260644	1	3731
261665	1	967
262401	1	7738
262953	1	3897
264065	1	3897
264507	1	3731
264967	1	3897
265450	1	967
265714	1	3897
265996	1	3897
